repository,element_key,parent_commit_id,commit_id,commit_time, change_type,element_file_before,element_file_after,element_name_before,element_name_after,result,comment
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$element(387)",6e96026ec6d95fc5eadd3044cab91c24c73c8e0c,e00c478dd61d9d883e41b500b780ab217582c2e7,1287650559,modifier change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)$element:LocalizedMessage(509)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)$element:LocalizedMessage(507)",TP,"Add Variable Modifier final in variable element : LocalizedMessage in method public fireErrors(aFileName String, aErrors TreeSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$element(387)",f1afaf83f39b83cc3bd07a2388448b262652a76b,e50e1fcd1c17ba1f73d11df38382907cc163a1d1,1197714527,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])$element:LocalizedMessage(471)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])$element:LocalizedMessage(471)",TP,"new variable"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors(384)",58219b9bd31c8f7fbc4f4bba0eeb811851f276b3,b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1,1421678312,rename,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$aErrors:SortedSet<LocalizedMessage>(515)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors:SortedSet<LocalizedMessage>(515)",TP,"Rename Parameter aErrors : SortedSet<LocalizedMessage> to errors : SortedSet<LocalizedMessage> in method public fireErrors(fileName String, errors SortedSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors(384)",5ce771ac776af4197ce832792a049e9357ca90b8,1d614c3a7ecf8a3ede4df8a50da46e71792d0025,1386263571,type change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)$aErrors:TreeSet<LocalizedMessage>(504)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$aErrors:SortedSet<LocalizedMessage>(506)",TP,"Change Parameter Type aErrors : TreeSet<LocalizedMessage> to aErrors : SortedSet<LocalizedMessage> in method public fireErrors(aFileName String, aErrors SortedSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors(384)",5dfb3f5a9e0206f9f80f9f067faa3dbe7766cef9,13b7c634337e38d20daa92ca9d5e069a2e72ec55,1226223447,type change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])$aErrors:LocalizedMessage[](472)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)$aErrors:TreeSet<LocalizedMessage>(500)",TP,"Change Parameter Type aErrors : LocalizedMessage[] to aErrors : TreeSet<LocalizedMessage> in method public fireErrors(aFileName String, aErrors TreeSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors(384)",d499f72239cec254d620ab1619ac936e233e2033,c682b5725d22afc38bf19d9667b23a7deab6d8c3,1028988900,type change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])$aErrors:LineText[](362)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])$aErrors:LocalizedMessage[](364)",TP,"Change Parameter Type aErrors : LineText[] to aErrors : LocalizedMessage[] in method protected fireErrors(aFileName String, aErrors LocalizedMessage[]) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$errors(384)",f34eba11cbd8559d4d06f96e19affa70abaf86ff,0e3fe5643667a53079dbd114e5b1e9aa91fde083,999188004,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])$aErrors:LineText[](309)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])$aErrors:LineText[](309)",TP,"added with method"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$event(388)",bf529ef600fa9ef2034d0412c198b2121f2b94f2,ce196814d857a4244a80c51d5151cc35e90b6749,1445038509,rename,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$evt:AuditEvent(359)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$event:AuditEvent(359)",TP,"Rename Variable evt : AuditEvent to event : AuditEvent in method public fireErrors(fileName String, errors SortedSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$event(388)",f34eba11cbd8559d4d06f96e19affa70abaf86ff,0e3fe5643667a53079dbd114e5b1e9aa91fde083,999188004,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])$evt:AuditEvent(312)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])$evt:AuditEvent(312)",TP,"added with method"
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$fileName(384)",58219b9bd31c8f7fbc4f4bba0eeb811851f276b3,b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1,1421678312,rename,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$aFileName:String(514)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$fileName:String(514)",TP,"Rename Parameter aFileName : String to fileName : String in method public fireErrors(fileName String, errors SortedSet<LocalizedMessage>) : void from class com.puppycrawl.tools.checkstyle.Checker"
